numero_partido,votos_legenda,nome_partido,sigla_partido
15,249,Movimento Democrático Brasileiro,MDB
12,73,Partido Democrático Trabalhista,PDT
65,10,Partido Comunista do Brasil,PC do B
27,9,Democracia Cristã,DC
19,35,Podemos,PODE
51,22,Patriota,PATRIOTA
10,14,REPUBLICANOS,REPUBLICANOS
35,1,Partido da Mulher Brasileira,PMB
14,37,Partido Trabalhista Brasileiro,PTB
33,12,Partido da Mobilização Nacional,PMN
55,26,Partido Social Democrático,PSD
17,211,Partido Social Liberal,PSL
40,171,Partido Socialista Brasileiro,PSB
18,31,Rede Sustentabilidade,REDE
