numero_partido,votos_legenda,nome_partido,sigla_partido
15,60,Movimento Democrático Brasileiro,MDB
23,36,Cidadania,CIDADANIA
12,41,Partido Democrático Trabalhista,PDT
11,212,PROGRESSISTAS,PP
55,537,Partido Social Democrático,PSD
33,8,Partido da Mobilização Nacional,PMN
14,19,Partido Trabalhista Brasileiro,PTB
40,16,Partido Socialista Brasileiro,PSB
13,19,Partido dos Trabalhadores,PT
45,26,Partido da Social Democracia Brasileira,PSDB
19,37,Podemos,PODE
18,10,Rede Sustentabilidade,REDE
10,38,REPUBLICANOS,REPUBLICANOS
77,90,Solidariedade,SOLIDARIEDADE
