numero_partido,votos_legenda,nome_partido,sigla_partido
23,25,Cidadania,CIDADANIA
11,26,PROGRESSISTAS,PP
90,18,Partido Republicano da Ordem Social,PROS
12,28,Partido Democrático Trabalhista,PDT
28,13,Partido Renovador Trabalhista Brasileiro,PRTB
22,29,Partido Liberal,PL
55,3,Partido Social Democrático,PSD
20,20,Partido Social Cristão,PSC
50,3,Partido Socialismo e Liberdade,PSOL
17,9,Partido Social Liberal,PSL
33,46,Partido da Mobilização Nacional,PMN
14,261,Partido Trabalhista Brasileiro,PTB
45,26,Partido da Social Democracia Brasileira,PSDB
13,93,Partido dos Trabalhadores,PT
