numero_partido,votos_legenda,nome_partido,sigla_partido
13,93,Partido dos Trabalhadores,PT
51,60,Patriota,PATRIOTA
19,46,Podemos,PODE
10,115,REPUBLICANOS,REPUBLICANOS
23,75,Cidadania,CIDADANIA
27,40,Democracia Cristã,DC
70,464,AVANTE,AVANTE
11,133,PROGRESSISTAS,PP
25,78,Democratas,DEM
12,119,Partido Democrático Trabalhista,PDT
28,23,Partido Renovador Trabalhista Brasileiro,PRTB
22,76,Partido Liberal,PL
90,13,Partido Republicano da Ordem Social,PROS
55,55,Partido Social Democrático,PSD
20,101,Partido Social Cristão,PSC
40,289,Partido Socialista Brasileiro,PSB
14,95,Partido Trabalhista Brasileiro,PTB
45,937,Partido da Social Democracia Brasileira,PSDB
