numero_partido,votos_legenda,nome_partido,sigla_partido
25,214,Democratas,DEM
15,27,Movimento Democrático Brasileiro,MDB
12,306,Partido Democrático Trabalhista,PDT
55,24,Partido Social Democrático,PSD
28,26,Partido Renovador Trabalhista Brasileiro,PRTB
20,22,Partido Social Cristão,PSC
43,1,Partido Verde,PV
40,11,Partido Socialista Brasileiro,PSB
14,41,Partido Trabalhista Brasileiro,PTB
45,39,Partido da Social Democracia Brasileira,PSDB
10,12,REPUBLICANOS,REPUBLICANOS
19,196,Podemos,PODE
70,17,AVANTE,AVANTE
