numero_partido,votos_legenda,nome_partido,sigla_partido
13,71,Partido dos Trabalhadores,PT
19,37,Podemos,PODE
10,49,REPUBLICANOS,REPUBLICANOS
25,46,Democratas,DEM
15,277,Movimento Democrático Brasileiro,MDB
12,442,Partido Democrático Trabalhista,PDT
18,14,Rede Sustentabilidade,REDE
77,34,Solidariedade,SOLIDARIEDADE
23,44,Cidadania,CIDADANIA
27,16,Democracia Cristã,DC
45,32,Partido da Social Democracia Brasileira,PSDB
40,366,Partido Socialista Brasileiro,PSB
55,18,Partido Social Democrático,PSD
17,23,Partido Social Liberal,PSL
