numero_partido,votos_legenda,nome_partido,sigla_partido
12,105,Partido Democrático Trabalhista,PDT
65,3,Partido Comunista do Brasil,PC do B
55,27,Partido Social Democrático,PSD
28,57,Partido Renovador Trabalhista Brasileiro,PRTB
17,152,Partido Social Liberal,PSL
90,33,Partido Republicano da Ordem Social,PROS
23,66,Cidadania,CIDADANIA
11,99,PROGRESSISTAS,PP
25,51,Democratas,DEM
40,61,Partido Socialista Brasileiro,PSB
43,23,Partido Verde,PV
13,175,Partido dos Trabalhadores,PT
35,7,Partido da Mulher Brasileira,PMB
45,1088,Partido da Social Democracia Brasileira,PSDB
51,41,Patriota,PATRIOTA
19,654,Podemos,PODE
18,46,Rede Sustentabilidade,REDE
77,345,Solidariedade,SOLIDARIEDADE
10,48,REPUBLICANOS,REPUBLICANOS
