numero_partido,votos_legenda,nome_partido,sigla_partido
43,21,Partido Verde,PV
14,31,Partido Trabalhista Brasileiro,PTB
17,69,Partido Social Liberal,PSL
40,51,Partido Socialista Brasileiro,PSB
55,41,Partido Social Democrático,PSD
20,20,Partido Social Cristão,PSC
10,35,REPUBLICANOS,REPUBLICANOS
19,783,Podemos,PODE
25,21,Democratas,DEM
15,137,Movimento Democrático Brasileiro,MDB
11,246,PROGRESSISTAS,PP
45,38,Partido da Social Democracia Brasileira,PSDB
13,72,Partido dos Trabalhadores,PT
90,14,Partido Republicano da Ordem Social,PROS
12,105,Partido Democrático Trabalhista,PDT
70,32,AVANTE,AVANTE
