numero_partido,votos_legenda,nome_partido,sigla_partido
11,344,PROGRESSISTAS,PP
12,5038,Partido Democrático Trabalhista,PDT
65,107,Partido Comunista do Brasil,PC do B
25,495,Democratas,DEM
51,125,Patriota,PATRIOTA
77,120,Solidariedade,SOLIDARIEDADE
10,185,REPUBLICANOS,REPUBLICANOS
19,159,Podemos,PODE
18,123,Rede Sustentabilidade,REDE
20,163,Partido Social Cristão,PSC
22,139,Partido Liberal,PL
90,114,Partido Republicano da Ordem Social,PROS
55,333,Partido Social Democrático,PSD
27,47,Democracia Cristã,DC
70,345,AVANTE,AVANTE
23,1780,Cidadania,CIDADANIA
43,28,Partido Verde,PV
50,408,Partido Socialismo e Liberdade,PSOL
40,110,Partido Socialista Brasileiro,PSB
16,70,Partido Socialista dos Trabalhadores Unificado,PSTU
14,692,Partido Trabalhista Brasileiro,PTB
17,137,Partido Social Liberal,PSL
45,132,Partido da Social Democracia Brasileira,PSDB
33,134,Partido da Mobilização Nacional,PMN
13,1671,Partido dos Trabalhadores,PT
