numero_partido,votos_legenda,nome_partido,sigla_partido
15,6554,Movimento Democrático Brasileiro,MDB
27,89,Democracia Cristã,DC
70,295,AVANTE,AVANTE
25,453,Democratas,DEM
23,2479,Cidadania,CIDADANIA
11,645,PROGRESSISTAS,PP
65,251,Partido Comunista do Brasil,PC do B
12,975,Partido Democrático Trabalhista,PDT
55,1235,Partido Social Democrático,PSD
90,331,Partido Republicano da Ordem Social,PROS
30,352,Partido Novo,NOVO
28,125,Partido Renovador Trabalhista Brasileiro,PRTB
20,438,Partido Social Cristão,PSC
22,608,Partido Liberal,PL
17,153,Partido Social Liberal,PSL
16,205,Partido Socialista dos Trabalhadores Unificado,PSTU
40,2039,Partido Socialista Brasileiro,PSB
50,9895,Partido Socialismo e Liberdade,PSOL
14,583,Partido Trabalhista Brasileiro,PTB
13,1099,Partido dos Trabalhadores,PT
45,788,Partido da Social Democracia Brasileira,PSDB
35,112,Partido da Mulher Brasileira,PMB
36,314,Partido Trabalhista Cristão,PTC
43,144,Partido Verde,PV
51,4999,Patriota,PATRIOTA
10,3350,REPUBLICANOS,REPUBLICANOS
77,294,Solidariedade,SOLIDARIEDADE
19,456,Podemos,PODE
80,99,Unidade Popular,UP
18,116,Rede Sustentabilidade,REDE
