numero_partido,votos_legenda,nome_partido,sigla_partido
70,37,AVANTE,AVANTE
23,51,Cidadania,CIDADANIA
27,68,Democracia Cristã,DC
15,1508,Movimento Democrático Brasileiro,MDB
25,61,Democratas,DEM
11,261,PROGRESSISTAS,PP
12,113,Partido Democrático Trabalhista,PDT
90,22,Partido Republicano da Ordem Social,PROS
55,118,Partido Social Democrático,PSD
28,68,Partido Renovador Trabalhista Brasileiro,PRTB
20,51,Partido Social Cristão,PSC
22,234,Partido Liberal,PL
17,352,Partido Social Liberal,PSL
36,52,Partido Trabalhista Cristão,PTC
40,13,Partido Socialista Brasileiro,PSB
50,86,Partido Socialismo e Liberdade,PSOL
43,31,Partido Verde,PV
14,104,Partido Trabalhista Brasileiro,PTB
35,47,Partido da Mulher Brasileira,PMB
45,412,Partido da Social Democracia Brasileira,PSDB
13,94,Partido dos Trabalhadores,PT
51,34,Patriota,PATRIOTA
33,66,Partido da Mobilização Nacional,PMN
77,428,Solidariedade,SOLIDARIEDADE
10,173,REPUBLICANOS,REPUBLICANOS
19,268,Podemos,PODE
18,271,Rede Sustentabilidade,REDE
