numero_partido,votos_legenda,nome_partido,sigla_partido
70,1253,AVANTE,AVANTE
23,110,Cidadania,CIDADANIA
25,336,Democratas,DEM
15,1461,Movimento Democrático Brasileiro,MDB
11,911,PROGRESSISTAS,PP
30,599,Partido Novo,NOVO
12,1023,Partido Democrático Trabalhista,PDT
65,80,Partido Comunista do Brasil,PC do B
17,1444,Partido Social Liberal,PSL
55,9458,Partido Social Democrático,PSD
20,156,Partido Social Cristão,PSC
33,103,Partido da Mobilização Nacional,PMN
40,211,Partido Socialista Brasileiro,PSB
14,389,Partido Trabalhista Brasileiro,PTB
43,215,Partido Verde,PV
50,381,Partido Socialismo e Liberdade,PSOL
13,3338,Partido dos Trabalhadores,PT
45,793,Partido da Social Democracia Brasileira,PSDB
51,389,Patriota,PATRIOTA
19,992,Podemos,PODE
18,183,Rede Sustentabilidade,REDE
77,430,Solidariedade,SOLIDARIEDADE
10,455,REPUBLICANOS,REPUBLICANOS
