numero_partido,votos_legenda,nome_partido,sigla_partido
25,223,Democratas,DEM
15,1583,Movimento Democrático Brasileiro,MDB
23,290,Cidadania,CIDADANIA
11,428,PROGRESSISTAS,PP
12,414,Partido Democrático Trabalhista,PDT
65,39,Partido Comunista do Brasil,PC do B
90,634,Partido Republicano da Ordem Social,PROS
30,315,Partido Novo,NOVO
28,33,Partido Renovador Trabalhista Brasileiro,PRTB
20,149,Partido Social Cristão,PSC
55,445,Partido Social Democrático,PSD
22,193,Partido Liberal,PL
17,310,Partido Social Liberal,PSL
40,206,Partido Socialista Brasileiro,PSB
14,247,Partido Trabalhista Brasileiro,PTB
50,428,Partido Socialismo e Liberdade,PSOL
29,15,Partido da Causa Operária,PCO
35,29,Partido da Mulher Brasileira,PMB
36,103,Partido Trabalhista Cristão,PTC
43,276,Partido Verde,PV
45,384,Partido da Social Democracia Brasileira,PSDB
13,877,Partido dos Trabalhadores,PT
77,233,Solidariedade,SOLIDARIEDADE
10,323,REPUBLICANOS,REPUBLICANOS
19,1333,Podemos,PODE
18,64,Rede Sustentabilidade,REDE
51,962,Patriota,PATRIOTA
