numero_partido,votos_legenda,nome_partido,sigla_partido
80,146,Unidade Popular,UP
18,590,Rede Sustentabilidade,REDE
77,2455,Solidariedade,SOLIDARIEDADE
12,22966,Partido Democrático Trabalhista,PDT
30,860,Partido Novo,NOVO
22,1115,Partido Liberal,PL
65,404,Partido Comunista do Brasil,PC do B
90,13409,Partido Republicano da Ordem Social,PROS
16,174,Partido Socialista dos Trabalhadores Unificado,PSTU
35,633,Partido da Mulher Brasileira,PMB
14,532,Partido Trabalhista Brasileiro,PTB
36,313,Partido Trabalhista Cristão,PTC
45,1002,Partido da Social Democracia Brasileira,PSDB
43,1354,Partido Verde,PV
33,407,Partido da Mobilização Nacional,PMN
23,1037,Cidadania,CIDADANIA
70,326,AVANTE,AVANTE
25,622,Democratas,DEM
15,742,Movimento Democrático Brasileiro,MDB
11,1666,PROGRESSISTAS,PP
19,693,Podemos,PODE
13,15462,Partido dos Trabalhadores,PT
51,333,Patriota,PATRIOTA
10,1016,REPUBLICANOS,REPUBLICANOS
55,828,Partido Social Democrático,PSD
20,718,Partido Social Cristão,PSC
50,3588,Partido Socialismo e Liberdade,PSOL
17,1784,Partido Social Liberal,PSL
40,1005,Partido Socialista Brasileiro,PSB
