numero_partido,votos_legenda,nome_partido,sigla_partido
40,1315,Partido Socialista Brasileiro,PSB
14,371,Partido Trabalhista Brasileiro,PTB
33,197,Partido da Mobilização Nacional,PMN
50,682,Partido Socialismo e Liberdade,PSOL
36,212,Partido Trabalhista Cristão,PTC
43,198,Partido Verde,PV
35,302,Partido da Mulher Brasileira,PMB
13,3745,Partido dos Trabalhadores,PT
45,777,Partido da Social Democracia Brasileira,PSDB
51,480,Patriota,PATRIOTA
70,309,AVANTE,AVANTE
25,498,Democratas,DEM
15,9297,Movimento Democrático Brasileiro,MDB
23,487,Cidadania,CIDADANIA
27,1174,Democracia Cristã,DC
19,327,Podemos,PODE
80,101,Unidade Popular,UP
18,146,Rede Sustentabilidade,REDE
10,576,REPUBLICANOS,REPUBLICANOS
77,785,Solidariedade,SOLIDARIEDADE
12,886,Partido Democrático Trabalhista,PDT
11,1440,PROGRESSISTAS,PP
21,181,Partido Comunista Brasileiro,PCB
22,830,Partido Liberal,PL
65,128,Partido Comunista do Brasil,PC do B
55,4819,Partido Social Democrático,PSD
30,645,Partido Novo,NOVO
28,307,Partido Renovador Trabalhista Brasileiro,PRTB
20,389,Partido Social Cristão,PSC
17,1055,Partido Social Liberal,PSL
90,331,Partido Republicano da Ordem Social,PROS
