numero_partido,votos_legenda,nome_partido,sigla_partido
25,569,Democratas,DEM
15,8338,Movimento Democrático Brasileiro,MDB
65,6970,Partido Comunista do Brasil,PC do B
30,3466,Partido Novo,NOVO
28,222,Partido Renovador Trabalhista Brasileiro,PRTB
11,1141,PROGRESSISTAS,PP
12,3985,Partido Democrático Trabalhista,PDT
21,155,Partido Comunista Brasileiro,PCB
22,382,Partido Liberal,PL
17,757,Partido Social Liberal,PSL
50,3905,Partido Socialismo e Liberdade,PSOL
90,330,Partido Republicano da Ordem Social,PROS
55,1055,Partido Social Democrático,PSD
20,228,Partido Social Cristão,PSC
14,1307,Partido Trabalhista Brasileiro,PTB
16,208,Partido Socialista dos Trabalhadores Unificado,PSTU
43,425,Partido Verde,PV
40,410,Partido Socialista Brasileiro,PSB
70,109,AVANTE,AVANTE
23,371,Cidadania,CIDADANIA
19,134,Podemos,PODE
45,7069,Partido da Social Democracia Brasileira,PSDB
13,5934,Partido dos Trabalhadores,PT
51,203,Patriota,PATRIOTA
77,288,Solidariedade,SOLIDARIEDADE
10,1312,REPUBLICANOS,REPUBLICANOS
80,72,Unidade Popular,UP
