numero_partido,votos_legenda,nome_partido,sigla_partido
14,976,Partido Trabalhista Brasileiro,PTB
36,182,Partido Trabalhista Cristão,PTC
43,400,Partido Verde,PV
50,2595,Partido Socialismo e Liberdade,PSOL
40,765,Partido Socialista Brasileiro,PSB
13,19094,Partido dos Trabalhadores,PT
45,1311,Partido da Social Democracia Brasileira,PSDB
51,833,Patriota,PATRIOTA
33,514,Partido da Mobilização Nacional,PMN
19,1359,Podemos,PODE
80,216,Unidade Popular,UP
18,307,Rede Sustentabilidade,REDE
77,479,Solidariedade,SOLIDARIEDADE
10,1381,REPUBLICANOS,REPUBLICANOS
12,2137,Partido Democrático Trabalhista,PDT
11,994,PROGRESSISTAS,PP
22,1082,Partido Liberal,PL
21,482,Partido Comunista Brasileiro,PCB
65,2108,Partido Comunista do Brasil,PC do B
55,563,Partido Social Democrático,PSD
20,710,Partido Social Cristão,PSC
30,1059,Partido Novo,NOVO
28,2128,Partido Renovador Trabalhista Brasileiro,PRTB
17,746,Partido Social Liberal,PSL
90,186,Partido Republicano da Ordem Social,PROS
15,1594,Movimento Democrático Brasileiro,MDB
25,41927,Democratas,DEM
23,830,Cidadania,CIDADANIA
27,380,Democracia Cristã,DC
70,3630,AVANTE,AVANTE
