numero_partido,votos_legenda,nome_partido,sigla_partido
12,1233,Partido Democrático Trabalhista,PDT
11,416,PROGRESSISTAS,PP
65,2540,Partido Comunista do Brasil,PC do B
22,550,Partido Liberal,PL
55,193,Partido Social Democrático,PSD
30,248,Partido Novo,NOVO
28,422,Partido Renovador Trabalhista Brasileiro,PRTB
20,311,Partido Social Cristão,PSC
90,199,Partido Republicano da Ordem Social,PROS
40,614,Partido Socialista Brasileiro,PSB
16,238,Partido Socialista dos Trabalhadores Unificado,PSTU
14,345,Partido Trabalhista Brasileiro,PTB
50,276,Partido Socialismo e Liberdade,PSOL
17,350,Partido Social Liberal,PSL
33,407,Partido da Mobilização Nacional,PMN
35,126,Partido da Mulher Brasileira,PMB
36,136,Partido Trabalhista Cristão,PTC
45,189,Partido da Social Democracia Brasileira,PSDB
13,328,Partido dos Trabalhadores,PT
43,128,Partido Verde,PV
19,6694,Podemos,PODE
18,378,Rede Sustentabilidade,REDE
51,230,Patriota,PATRIOTA
10,3090,REPUBLICANOS,REPUBLICANOS
77,160,Solidariedade,SOLIDARIEDADE
70,277,AVANTE,AVANTE
25,2572,Democratas,DEM
15,329,Movimento Democrático Brasileiro,MDB
23,306,Cidadania,CIDADANIA
27,175,Democracia Cristã,DC
