numero_partido,votos_legenda,nome_partido,sigla_partido
45,3283,Partido da Social Democracia Brasileira,PSDB
19,83,Podemos,PODE
51,503,Patriota,PATRIOTA
13,2169,Partido dos Trabalhadores,PT
15,5566,Movimento Democrático Brasileiro,MDB
25,298,Democratas,DEM
11,1006,PROGRESSISTAS,PP
30,66,Partido Novo,NOVO
28,30,Partido Renovador Trabalhista Brasileiro,PRTB
65,119,Partido Comunista do Brasil,PC do B
12,1253,Partido Democrático Trabalhista,PDT
22,1211,Partido Liberal,PL
10,285,REPUBLICANOS,REPUBLICANOS
80,27,Unidade Popular,UP
18,34,Rede Sustentabilidade,REDE
77,305,Solidariedade,SOLIDARIEDADE
70,198,AVANTE,AVANTE
35,207,Partido da Mulher Brasileira,PMB
40,127,Partido Socialista Brasileiro,PSB
43,160,Partido Verde,PV
14,324,Partido Trabalhista Brasileiro,PTB
33,176,Partido da Mobilização Nacional,PMN
17,388,Partido Social Liberal,PSL
90,58,Partido Republicano da Ordem Social,PROS
50,423,Partido Socialismo e Liberdade,PSOL
20,638,Partido Social Cristão,PSC
55,536,Partido Social Democrático,PSD
